date,away,home,away_score,home_score,away_ml,home_ml,spread,o/u,a_first_downs,a_opponents_first_downs,a_fumbles_lost,a_opponents_fumbles_lost,a_interceptions,a_opponents_interceptions,a_pass_attempts,a_opponents_pass_attempts,a_pass_completions,a_opponents_pass_completions,a_pass_touchdowns,a_opponents_pass_touchdowns,a_pass_yards,a_opponents_pass_yards,a_penalties,a_opponents_penalties,a_points_against_per_game,a_points_per_game,a_rush_attempts,a_opponents_rush_attempts,a_rush_touchdowns,a_opponents_rush_touchdowns,a_rush_yards,a_opponents_rush_yards,a_yards,a_opponents_yards,a_turnovers,a_opponents_turnovers,a_yards_from_penalties,a_opponents_yards_from_penalties,a_pass_completion_percentage,a_opponents_pass_completion_percentage,a_pass_yards_per_attempt,a_opponents_pass_yards_per_attempt,a_plays,a_opponents_plays,a_points_per_play,a_opponents_points_per_play,a_rush_yards_per_attempt,a_opponents_rush_yards_per_attempt,a_yards_per_play,a_opponents_yards_per_play,a_acc,a_american,a_big-12,a_big-ten,a_cusa,a_mac,a_mwc,a_pac-12,a_sec,a_sun-belt,a_simple_rating_system,a_strength_of_schedule,h_first_downs,h_opponents_first_downs,h_fumbles_lost,h_opponents_fumbles_lost,h_interceptions,h_opponents_interceptions,h_pass_attempts,h_opponents_pass_attempts,h_pass_completions,h_opponents_pass_completions,h_pass_touchdowns,h_opponents_pass_touchdowns,h_pass_yards,h_opponents_pass_yards,h_penalties,h_opponents_penalties,h_points_against_per_game,h_points_per_game,h_rush_attempts,h_opponents_rush_attempts,h_rush_touchdowns,h_opponents_rush_touchdowns,h_rush_yards,h_opponents_rush_yards,h_yards,h_opponents_yards,h_turnovers,h_opponents_turnovers,h_yards_from_penalties,h_opponents_yards_from_penalties,h_pass_completion_percentage,h_opponents_pass_completion_percentage,h_pass_yards_per_attempt,h_opponents_pass_yards_per_attempt,h_plays,h_opponents_plays,h_points_per_play,h_opponents_points_per_play,h_rush_yards_per_attempt,h_opponents_rush_yards_per_attempt,h_yards_per_play,h_opponents_yards_per_play,h_acc,h_american,h_big-12,h_big-ten,h_cusa,h_mac,h_mwc,h_pac-12,h_sec,h_sun-belt,h_simple_rating_system,h_strength_of_schedule
08-25,WYOMING,NEW-MEXICO-STATE,29,7,-258,213,-6.0,46,15.2,18.8,0.5,1.4,0.6,1.5,26.8,25.7,15.0,14.5,1.4,0.8,177.2,174.9,4.2,4.9,17.5,23.5,34.3,46.1,1.0,1.2,108.8,160.3,286.0,335.2,1.1,2.9,40.2,46.3,0.5597014925373134,0.5642023346303502,6.611940298507462,6.805447470817121,61.099999999999994,51.4,0.38461538461538464,0.3404669260700389,3.17201166180758,3.477223427331887,4.680851063829787,6.521400778210117,0,0,0,0,0,0,1,0,0,0,0.04,-4.65,22.3,21.9,0.5,0.8,1.7,1.2,49.2,34.8,30.5,20.3,2.2,1.6,340.2,234.4,6.8,6.8,29.7,29.3,27.2,39.9,1.4,1.9,110.1,166.6,450.2,401.0,2.2,2.1,54.9,59.3,0.6199186991869918,0.5833333333333334,6.914634146341463,6.735632183908047,76.4,69.6,0.38350785340314136,0.42672413793103453,4.047794117647059,4.175438596491228,5.892670157068062,5.761494252873564,0,0,0,0,0,0,0,0,0,1,-8.69,-8.3
08-25,HAWAII,COLORADO-STATE,43,34,711,-1100,17.0,58,19.8,22.8,0.5,0.5,0.7,0.8,35.3,27.8,21.7,17.8,1.6,2.4,234.5,248.6,7.8,5.7,33.9,22.8,35.0,40.0,1.3,1.9,168.2,210.2,402.7,458.8,1.2,1.3,68.8,51.6,0.6147308781869689,0.6402877697841727,6.643059490084986,8.942446043165468,70.3,55.6,0.32432432432432434,0.6097122302158273,4.805714285714285,5.255,5.7283072546230445,8.251798561151078,0,0,0,0,0,0,1,0,0,0,-13.76,-5.34,25.5,21.4,0.5,0.5,0.8,0.9,35.3,32.2,21.8,18.2,2.2,1.6,292.6,244.9,6.2,5.6,27.8,33.4,39.8,36.2,2.0,1.7,200.6,188.5,493.2,433.5,1.2,1.4,57.0,48.7,0.6175637393767706,0.5652173913043478,8.288951841359774,7.6055900621118,75.1,64.4,0.4447403462050599,0.43167701863354035,5.040201005025126,5.207182320441989,6.567243675099867,6.731366459627329,0,0,0,0,0,0,1,0,0,0,-0.87,-4.95
08-30,CENTRAL-FLORIDA,CONNECTICUT,56,17,-2000,1203,-24.0,68,25.2,21.5,0.5,0.9,0.7,1.5,32.6,36.2,22.1,20.1,2.9,1.8,331.8,268.1,8.4,8.3,25.3,48.2,38.5,38.3,3.0,1.2,199.2,159.8,530.9,427.9,1.2,2.5,68.1,74.0,0.6779141104294478,0.5552486187845304,10.177914110429448,7.406077348066298,71.1,72.4,0.6779184247538679,0.34944751381215466,5.174025974025974,4.172323759791123,7.466947960618847,5.910220994475138,0,1,0,0,0,0,0,0,0,0,16.9,-0.8,21.3,25.7,0.7,0.4,0.9,0.5,35.1,39.4,21.3,26.5,1.5,2.8,269.2,333.9,5.3,9.0,37.9,23.6,40.3,37.3,1.4,2.2,146.3,185.1,415.5,519.0,1.6,0.9,48.8,81.2,0.6068376068376068,0.6725888324873097,7.669515669515669,8.474619289340101,75.4,78.8,0.3129973474801061,0.48096446700507617,3.6302729528535984,4.962466487935657,5.510610079575597,6.586294416243655,0,1,0,0,0,0,0,0,0,0,-12.29,-0.12
08-30,NORTHWESTERN,PURDUE,31,27,-105,-115,1.0,49,22.8,19.2,0.5,0.6,0.9,1.3,35.4,38.1,21.2,21.8,1.3,1.4,233.8,249.5,4.9,5.2,20.1,29.2,41.3,33.1,2.3,1.0,174.2,107.8,408.0,357.4,1.4,1.9,49.0,48.9,0.5988700564971752,0.5721784776902887,6.6045197740113,6.548556430446194,76.69999999999999,76.2,0.3807040417209909,0.26377952755905515,4.217917675544794,3.2567975830815707,5.31942633637549,4.6902887139107605,0,0,0,1,0,0,0,0,0,0,11.36,5.13,21.7,19.2,0.5,0.8,0.8,0.8,37.8,33.6,22.5,19.1,2.1,1.6,251.5,242.5,5.9,6.9,20.5,25.2,34.4,37.4,0.9,0.8,151.5,133.2,403.1,375.8,1.3,1.6,50.6,59.8,0.5952380952380952,0.5684523809523809,6.653439153439154,7.217261904761904,72.19999999999999,67.2,0.3490304709141275,0.3050595238095238,4.404069767441861,3.5614973262032086,5.583102493074794,5.592261904761905,0,0,0,1,0,0,0,0,0,0,9.74,6.21
08-30,NEW-MEXICO-STATE,MINNESOTA,10,48,947,-1700,21.0,49,14.65,21.95,0.25,0.4,0.85,0.6,41.1,28.4,24.25,16.65,1.6,0.8,242.1,185.7,9.4,5.4,29.35,18.15,21.6,47.95,0.7,2.45,59.55,239.8,292.6,425.5,1.1,1.05,55.95,59.65,0.5900243309002433,0.5862676056338028,5.890510948905109,6.538732394366197,62.7,56.8,0.28947368421052627,0.5167253521126761,2.756944444444444,5.00104275286757,4.666666666666667,7.491197183098592,0,0,0,0,0,0,0,0,0,1,-8.69,-8.3,16.4,17.3,0.6,0.8,0.9,0.7,19.4,27.7,9.2,17.5,0.8,1.3,126.1,174.5,3.3,5.3,22.8,22.1,43.8,35.2,1.7,1.6,182.4,172.2,308.5,346.7,1.5,1.5,28.3,53.3,0.4742268041237113,0.631768953068592,6.5,6.299638989169675,63.199999999999996,55.4,0.3496835443037975,0.41155234657039713,4.164383561643836,4.892045454545454,4.881329113924051,6.258122743682311,0,0,0,1,0,0,0,0,0,0,3.36,4.78
08-30,WAKE-FOREST,TULANE,23,17,-295,241,-7.0,55,22.8,24.1,0.5,0.5,0.5,1.1,32.8,40.2,20.6,22.8,2.5,1.5,276.8,271.5,5.3,4.8,28.3,35.3,41.2,42.1,1.7,1.8,189.1,185.8,465.9,457.3,1.0,1.6,41.8,43.6,0.628048780487805,0.5671641791044776,8.439024390243903,6.753731343283581,74.0,80.4,0.477027027027027,0.35199004975124376,4.589805825242718,4.4133016627078385,6.295945945945945,5.687810945273632,1,0,0,0,0,0,0,0,0,0,11.42,6.03,20.8,20.2,0.4,0.6,0.5,1.1,20.1,26.6,11.3,15.1,1.0,1.6,160.0,225.7,5.8,6.2,29.2,27.5,47.9,38.7,2.6,2.1,231.5,210.4,391.5,436.1,0.9,1.7,52.1,56.3,0.5621890547263682,0.5676691729323308,7.960199004975124,8.484962406015036,68.0,53.2,0.40441176470588236,0.5488721804511277,4.832985386221295,5.4366925064599485,5.757352941176471,8.197368421052632,0,1,0,0,0,0,0,0,0,0,-2.24,-0.57
08-31,UTAH-STATE,MICHIGAN-STATE,31,38,1175,-2500,23.0,51,19.1,21.2,0.8,1.2,1.0,1.0,33.5,28.9,19.5,16.1,1.3,1.3,226.0,182.5,6.2,7.1,26.9,30.2,37.3,48.2,1.8,1.5,171.4,217.2,397.4,399.6,1.8,2.2,56.0,56.2,0.582089552238806,0.5570934256055364,6.746268656716418,6.314878892733565,70.8,57.8,0.4265536723163842,0.46539792387543255,4.595174262734585,4.506224066390041,5.612994350282486,6.913494809688582,0,0,0,0,0,0,1,0,0,0,-2.18,-3.72,21.6,15.8,0.9,0.7,0.6,1.1,32.6,32.7,19.0,18.5,1.5,1.2,215.2,201.9,6.5,4.8,20.0,24.5,41.8,28.3,1.4,0.9,168.4,95.3,383.6,297.2,1.5,1.8,59.1,45.5,0.5828220858895705,0.565749235474006,6.60122699386503,6.174311926605505,74.4,65.4,0.3293010752688172,0.3058103975535168,4.028708133971293,3.3674911660777385,5.155913978494624,4.5443425076452595,0,0,0,1,0,0,0,0,0,0,13.83,7.68
08-31,SYRACUSE,WESTERN-MICHIGAN,55,42,-200,170,-4.0,65,24.4,20.7,0.7,0.7,1.3,0.3,45.7,31.8,26.7,19.3,1.7,1.6,294.8,247.3,6.2,6.6,32.2,27.4,39.9,37.6,1.3,2.3,161.5,196.7,456.3,444.0,2.0,1.0,49.4,59.6,0.5842450765864332,0.6069182389937107,6.450765864332603,7.776729559748428,85.6,63.6,0.32009345794392524,0.5062893081761006,4.0476190476190474,5.231382978723404,5.330607476635515,6.981132075471698,1,0,0,0,0,0,0,0,0,0,1.96,5.8,20.8,18.7,0.8,1.3,0.7,0.8,24.5,30.3,14.3,17.4,1.6,1.5,164.8,222.4,5.7,6.8,29.0,33.9,46.8,36.7,2.2,2.3,224.8,157.0,389.6,379.4,1.5,2.2,53.4,61.8,0.5836734693877551,0.5742574257425742,6.726530612244899,7.33993399339934,71.3,60.6,0.47545582047685836,0.4785478547854785,4.803418803418804,4.277929155313351,5.464235624123423,6.26072607260726,0,0,0,0,0,1,0,0,0,0,-2.87,-4.37
08-31,COLORADO-STATE,COLORADO,13,45,203,-245,7.0,65,27.25,25.7,0.25,0.75,0.9,0.45,42.65,34.6,27.9,22.1,3.6,2.3,414.8,331.45,9.1,7.8,35.4,33.7,32.4,36.1,1.0,1.85,158.3,193.75,573.1,525.25,1.1,1.2,88.5,56.85,0.6541617819460727,0.638728323699422,9.72567409144197,9.579479768786127,75.05,69.2,0.4490339773484344,0.5115606936416185,4.885802469135803,5.367036011080332,7.63624250499667,7.590317919075145,0,0,0,0,0,0,1,0,0,0,-0.87,-4.95,22.6,23.3,0.4,0.5,0.8,0.7,34.2,33.9,20.3,18.9,1.6,1.4,260.4,242.6,6.3,5.3,28.2,26.4,41.2,39.6,1.4,1.9,158.5,208.3,418.9,450.8,1.2,1.2,55.7,50.1,0.5935672514619883,0.5575221238938053,7.614035087719297,7.156342182890856,75.4,67.8,0.3501326259946949,0.415929203539823,3.847087378640776,5.26010101010101,5.555702917771883,6.64896755162242,0,0,0,0,0,0,0,1,0,0,-2.61,-0.36
08-31,SAN-DIEGO-STATE,STANFORD,10,31,447,-600,14.0,48,19.6,15.3,0.7,0.5,0.3,1.1,19.4,25.6,11.5,14.7,1.0,1.1,147.7,178.7,6.5,4.7,20.2,30.8,44.2,36.2,2.5,1.3,252.9,135.8,400.6,314.5,1.0,1.5,59.9,41.9,0.5927835051546392,0.5742187499999999,7.61340206185567,6.980468749999999,63.6,51.2,0.48427672955974843,0.39453124999999994,5.721719457013575,3.751381215469613,6.29874213836478,6.142578125,0,0,0,0,0,0,1,0,0,0,5.05,-3.87,17.6,20.9,0.3,0.7,0.6,1.3,25.9,30.9,14.9,19.6,1.6,1.4,186.3,236.1,5.8,6.6,22.7,32.4,34.2,36.8,2.2,1.3,202.6,169.4,388.9,405.6,0.9,2.0,47.3,63.4,0.5752895752895754,0.6343042071197412,7.193050193050194,7.640776699029127,60.1,61.8,0.5391014975041597,0.3673139158576052,5.923976608187134,4.603260869565218,6.470881863560732,6.5631067961165055,0,0,0,0,0,0,0,1,0,0,10.84,4.92
