date,away,home,away_score,home_score,away_ml,home_ml,spread,o/u
826,CALIFORNIA,HAWAII,51,31,-2000,1000,-21,66
901,INDIANA,FLORIDA-INTERNATIONAL,34,13,-380,315,-10,64
901,TULANE,WAKE-FOREST,3,7,450,-600,14,43
901,RICE,WESTERN-KENTUCKY,14,46,675,-1050,19,65
901,SOUTH-CAROLINA,VANDERBILT,13,10,180,-220,5,40
901,OREGON-STATE,MINNESOTA,23,30,400,-500,13,55
901,APPALACHIAN-STATE,TENNESSEE,13,20,975,-1475,21,58
902,BALL-STATE,GEORGIA-STATE,31,21,210,-250,6,55
902,ARMY,TEMPLE,28,13,460,-620,14,45
902,COLORADO-STATE,COLORADO,7,44,215,-255,7,56
902,KANSAS-STATE,STANFORD,13,26,380,-475,12,49
902,TOLEDO,ARKANSAS-STATE,31,10,165,-185,4,63
903,GEORGIA-TECH,BOSTON-COLLEGE,17,14,-165,145,-3,43
903,HAWAII,MICHIGAN,3,63,18500,-55500,38,54
903,MIAMI-OH,IOWA,21,45,2800,-6200,28,52
903,WESTERN-MICHIGAN,NORTHWESTERN,22,21,143,-163,3,53
903,BOWLING-GREEN-STATE,OHIO-STATE,10,77,2800,-6200,27,64
903,KENT-STATE,PENN-STATE,13,33,1350,-2300,24,44
903,MISSOURI,WEST-VIRGINIA,11,26,315,-380,9,51
903,NEW-MEXICO-STATE,TEXAS-EL-PASO,22,38,295,-355,9,58
903,SOUTHERN-METHODIST,NORTH-TEXAS,34,21,-280,240,-7,68
903,SOUTH-ALABAMA,MISSISSIPPI-STATE,21,20,3000,-7000,28,52
903,TEXAS-STATE,OHIO,56,54,650,-1000,17,59
903,SOUTHERN-MISSISSIPPI,KENTUCKY,44,35,140,-160,3,62
903,LOUISIANA-TECH,ARKANSAS,20,21,925,-1400,21,53
903,MASSACHUSETTS,FLORIDA,7,24,10000,-30000,35,51
903,CLEMSON,AUBURN,19,13,-370,310,-9,63
903,UCLA,TEXAS-AM,24,31,170,-190,4,55
903,SAN-JOSE-STATE,TULSA,10,45,150,-170,4,66
903,RUTGERS,WASHINGTON,13,48,2000,-4000,26,56
903,LOUISIANA-STATE,WISCONSIN,14,16,-650,475,-12,43
903,NORTH-CAROLINA,GEORGIA,24,33,155,-175,3,60
903,OKLAHOMA,HOUSTON,23,33,-600,450,-13,67
903,FRESNO-STATE,NEBRASKA,10,43,NL,NL,29,63
903,SOUTHERN-CALIFORNIA,ALABAMA,6,52,425,-550,13,52
903,BOISE-STATE,LOUISIANA-LAFAYETTE,45,10,-1100,700,-18,63
903,BRIGHAM-YOUNG,ARIZONA,18,16,-120,100,-1,64
903,NORTHERN-ILLINOIS,WYOMING,34,40,-270,230,-7,53
903,LIBERTY,VIRGINIA-TECH,13,36,7000,-18500,32,58
904,NOTRE-DAME,TEXAS,47,50,-175,155,-3,57
905,MISSISSIPPI,FLORIDA-STATE,34,45,165,-190,4,57
909,MARYLAND,FLORIDA-INTERNATIONAL,41,14,-502,401,-12,56
909,LOUISVILLE,SYRACUSE,62,28,-825,600,-17,69
910,BOSTON-COLLEGE,MASSACHUSETTS,26,7,-770,535,-16,37
910,ARKANSAS,TEXAS-CHRISTIAN,41,38,350,-440,10,57
910,RICE,ARMY,14,31,275,-335,8,51
910,OHIO,KANSAS,37,21,125,-145,2,61
910,CENTRAL-FLORIDA,MICHIGAN,14,51,10000,-30000,36,53
910,EASTERN-MICHIGAN,MISSOURI,21,61,1250,-2000,23,58
910,OLD-DOMINION,APPALACHIAN-STATE,7,31,950,-1450,21,54
910,PENN-STATE,PITTSBURGH,39,42,140,-160,3,44
910,CINCINNATI,PURDUE,38,20,-165,145,-3,58
910,BALL-STATE,INDIANA,20,30,575,-850,17,64
910,CENTRAL-MICHIGAN,OKLAHOMA-STATE,30,27,650,-1000,17,58
910,AKRON,WISCONSIN,10,54,1100,-1700,21,45
910,NORTH-CAROLINA-STATE,EAST-CAROLINA,30,33,-240,200,-6,59
910,TULSA,OHIO-STATE,3,48,3500,-8500,28,72
910,TROY,CLEMSON,24,30,8500,-23000,35,62
910,NORTHERN-ILLINOIS,SOUTH-FLORIDA,17,48,445,-550,14,55
910,WAKE-FOREST,DUKE,24,14,215,-255,7,45
910,CONNECTICUT,NAVY,24,28,155,-175,3,44
910,TEXAS-EL-PASO,TEXAS,7,41,6000,-15000,31,58
910,ARKANSAS-STATE,AUBURN,14,51,885,-1350,20,51
910,GEORGIA-STATE,AIR-FORCE,14,48,1150,-1800,23,53
910,TEXAS-SAN-ANTONIO,COLORADO-STATE,14,23,280,-340,8,52
910,KENTUCKY,FLORIDA,7,45,455,-560,14,49
910,MIDDLE-TENNESSEE-STATE,VANDERBILT,24,47,120,-140,2,51
910,VIRGINIA,OREGON,26,44,1250,-2000,24,72
910,SOUTH-CAROLINA,MISSISSIPPI-STATE,14,27,270,-325,7,51
