date,away,home,away_score,home_score,away_ml,home_ml,spread,o/u,a_first_downs,a_opponents_first_downs,a_fumbles_lost,a_opponents_fumbles_lost,a_interceptions,a_opponents_interceptions,a_pass_attempts,a_opponents_pass_attempts,a_pass_completions,a_opponents_pass_completions,a_pass_touchdowns,a_opponents_pass_touchdowns,a_pass_yards,a_opponents_pass_yards,a_penalties,a_opponents_penalties,a_points_against_per_game,a_points_per_game,a_rush_attempts,a_opponents_rush_attempts,a_rush_touchdowns,a_opponents_rush_touchdowns,a_rush_yards,a_opponents_rush_yards,a_yards,a_opponents_yards,a_turnovers,a_opponents_turnovers,a_yards_from_penalties,a_opponents_yards_from_penalties,a_pass_completion_percentage,a_opponents_pass_completion_percentage,a_pass_yards_per_attempt,a_opponents_pass_yards_per_attempt,a_plays,a_opponents_plays,a_points_per_play,a_opponents_points_per_play,a_rush_yards_per_attempt,a_opponents_rush_yards_per_attempt,a_yards_per_play,a_opponents_yards_per_play,a_acc,a_american,a_big-12,a_big-ten,a_cusa,a_mac,a_mwc,a_pac-12,a_sec,a_sun-belt,a_simple_rating_system,a_strength_of_schedule,h_first_downs,h_opponents_first_downs,h_fumbles_lost,h_opponents_fumbles_lost,h_interceptions,h_opponents_interceptions,h_pass_attempts,h_opponents_pass_attempts,h_pass_completions,h_opponents_pass_completions,h_pass_touchdowns,h_opponents_pass_touchdowns,h_pass_yards,h_opponents_pass_yards,h_penalties,h_opponents_penalties,h_points_against_per_game,h_points_per_game,h_rush_attempts,h_opponents_rush_attempts,h_rush_touchdowns,h_opponents_rush_touchdowns,h_rush_yards,h_opponents_rush_yards,h_yards,h_opponents_yards,h_turnovers,h_opponents_turnovers,h_yards_from_penalties,h_opponents_yards_from_penalties,h_pass_completion_percentage,h_opponents_pass_completion_percentage,h_pass_yards_per_attempt,h_opponents_pass_yards_per_attempt,h_plays,h_opponents_plays,h_points_per_play,h_opponents_points_per_play,h_rush_yards_per_attempt,h_opponents_rush_yards_per_attempt,h_yards_per_play,h_opponents_yards_per_play,h_acc,h_american,h_big-12,h_big-ten,h_cusa,h_mac,h_mwc,h_pac-12,h_sec,h_sun-belt,h_simple_rating_system,h_strength_of_schedule
8/25/2021,WYOMING,NEW-MEXICO-STATE,29,7,-258,213,-6,46,15.2,18.8,0.5,1.4,0.6,1.5,26.8,25.7,15,14.5,1.4,0.8,177.2,174.9,4.2,4.9,17.5,23.5,34.3,46.1,1,1.2,108.8,160.3,286,335.2,1.1,2.9,40.2,46.3,0.559701493,0.564202335,6.611940299,6.805447471,61.1,51.4,0.384615385,0.340466926,3.172011662,3.477223427,4.680851064,6.521400778,0,0,0,0,0,0,1,0,0,0,0.04,-4.65,22.3,21.9,0.5,0.8,1.7,1.2,49.2,34.8,30.5,20.3,2.2,1.6,340.2,234.4,6.8,6.8,29.7,29.3,27.2,39.9,1.4,1.9,110.1,166.6,450.2,401,2.2,2.1,54.9,59.3,0.619918699,0.583333333,6.914634146,6.735632184,76.4,69.6,0.383507853,0.426724138,4.047794118,4.175438596,5.892670157,5.761494253,0,0,0,0,0,0,0,0,0,1,-8.69,-8.3
8/25/2021,HAWAII,COLORADO-STATE,43,34,711,-1100,17,58,19.8,22.8,0.5,0.5,0.7,0.8,35.3,27.8,21.7,17.8,1.6,2.4,234.5,248.6,7.8,5.7,33.9,22.8,35,40,1.3,1.9,168.2,210.2,402.7,458.8,1.2,1.3,68.8,51.6,0.614730878,0.64028777,6.64305949,8.942446043,70.3,55.6,0.324324324,0.60971223,4.805714286,5.255,5.728307255,8.251798561,0,0,0,0,0,0,1,0,0,0,-13.76,-5.34,25.5,21.4,0.5,0.5,0.8,0.9,35.3,32.2,21.8,18.2,2.2,1.6,292.6,244.9,6.2,5.6,27.8,33.4,39.8,36.2,2,1.7,200.6,188.5,493.2,433.5,1.2,1.4,57,48.7,0.617563739,0.565217391,8.288951841,7.605590062,75.1,64.4,0.444740346,0.431677019,5.040201005,5.20718232,6.567243675,6.73136646,0,0,0,0,0,0,1,0,0,0,-0.87,-4.95
8/30/2021,CENTRAL-FLORIDA,CONNECTICUT,56,17,-2000,1203,-24,68,25.2,21.5,0.5,0.9,0.7,1.5,32.6,36.2,22.1,20.1,2.9,1.8,331.8,268.1,8.4,8.3,25.3,48.2,38.5,38.3,3,1.2,199.2,159.8,530.9,427.9,1.2,2.5,68.1,74,0.67791411,0.555248619,10.17791411,7.406077348,71.1,72.4,0.677918425,0.349447514,5.174025974,4.17232376,7.466947961,5.910220994,0,1,0,0,0,0,0,0,0,0,16.9,-0.8,21.3,25.7,0.7,0.4,0.9,0.5,35.1,39.4,21.3,26.5,1.5,2.8,269.2,333.9,5.3,9,37.9,23.6,40.3,37.3,1.4,2.2,146.3,185.1,415.5,519,1.6,0.9,48.8,81.2,0.606837607,0.672588832,7.66951567,8.474619289,75.4,78.8,0.312997347,0.480964467,3.630272953,4.962466488,5.51061008,6.586294416,0,1,0,0,0,0,0,0,0,0,-12.29,-0.12
8/30/2021,NORTHWESTERN,PURDUE,31,27,-105,-115,1,49,22.8,19.2,0.5,0.6,0.9,1.3,35.4,38.1,21.2,21.8,1.3,1.4,233.8,249.5,4.9,5.2,20.1,29.2,41.3,33.1,2.3,1,174.2,107.8,408,357.4,1.4,1.9,49,48.9,0.598870056,0.572178478,6.604519774,6.54855643,76.7,76.2,0.380704042,0.263779528,4.217917676,3.256797583,5.319426336,4.690288714,0,0,0,1,0,0,0,0,0,0,11.36,5.13,21.7,19.2,0.5,0.8,0.8,0.8,37.8,33.6,22.5,19.1,2.1,1.6,251.5,242.5,5.9,6.9,20.5,25.2,34.4,37.4,0.9,0.8,151.5,133.2,403.1,375.8,1.3,1.6,50.6,59.8,0.595238095,0.568452381,6.653439153,7.217261905,72.2,67.2,0.349030471,0.305059524,4.404069767,3.561497326,5.583102493,5.592261905,0,0,0,1,0,0,0,0,0,0,9.74,6.21
8/30/2021,NEW-MEXICO-STATE,MINNESOTA,10,48,947,-1700,21,49,14.65,21.95,0.25,0.4,0.85,0.6,41.1,28.4,24.25,16.65,1.6,0.8,242.1,185.7,9.4,5.4,29.35,18.15,21.6,47.95,0.7,2.45,59.55,239.8,292.6,425.5,1.1,1.05,55.95,59.65,0.590024331,0.586267606,5.890510949,6.538732394,62.7,56.8,0.289473684,0.516725352,2.756944444,5.001042753,4.666666667,7.491197183,0,0,0,0,0,0,0,0,0,1,-8.69,-8.3,16.4,17.3,0.6,0.8,0.9,0.7,19.4,27.7,9.2,17.5,0.8,1.3,126.1,174.5,3.3,5.3,22.8,22.1,43.8,35.2,1.7,1.6,182.4,172.2,308.5,346.7,1.5,1.5,28.3,53.3,0.474226804,0.631768953,6.5,6.299638989,63.2,55.4,0.349683544,0.411552347,4.164383562,4.892045455,4.881329114,6.258122744,0,0,0,1,0,0,0,0,0,0,3.36,4.78
8/30/2021,WAKE-FOREST,TULANE,23,17,-295,241,-7,55,22.8,24.1,0.5,0.5,0.5,1.1,32.8,40.2,20.6,22.8,2.5,1.5,276.8,271.5,5.3,4.8,28.3,35.3,41.2,42.1,1.7,1.8,189.1,185.8,465.9,457.3,1,1.6,41.8,43.6,0.62804878,0.567164179,8.43902439,6.753731343,74,80.4,0.477027027,0.35199005,4.589805825,4.413301663,6.295945946,5.687810945,1,0,0,0,0,0,0,0,0,0,11.42,6.03,20.8,20.2,0.4,0.6,0.5,1.1,20.1,26.6,11.3,15.1,1,1.6,160,225.7,5.8,6.2,29.2,27.5,47.9,38.7,2.6,2.1,231.5,210.4,391.5,436.1,0.9,1.7,52.1,56.3,0.562189055,0.567669173,7.960199005,8.484962406,68,53.2,0.404411765,0.54887218,4.832985386,5.436692506,5.757352941,8.197368421,0,1,0,0,0,0,0,0,0,0,-2.24,-0.57
8/31/2021,UTAH-STATE,MICHIGAN-STATE,31,38,1175,-2500,23,51,19.1,21.2,0.8,1.2,1,1,33.5,28.9,19.5,16.1,1.3,1.3,226,182.5,6.2,7.1,26.9,30.2,37.3,48.2,1.8,1.5,171.4,217.2,397.4,399.6,1.8,2.2,56,56.2,0.582089552,0.557093426,6.746268657,6.314878893,70.8,57.8,0.426553672,0.465397924,4.595174263,4.506224066,5.61299435,6.91349481,0,0,0,0,0,0,1,0,0,0,-2.18,-3.72,21.6,15.8,0.9,0.7,0.6,1.1,32.6,32.7,19,18.5,1.5,1.2,215.2,201.9,6.5,4.8,20,24.5,41.8,28.3,1.4,0.9,168.4,95.3,383.6,297.2,1.5,1.8,59.1,45.5,0.582822086,0.565749235,6.601226994,6.174311927,74.4,65.4,0.329301075,0.305810398,4.028708134,3.367491166,5.155913978,4.544342508,0,0,0,1,0,0,0,0,0,0,13.83,7.68
8/31/2021,SYRACUSE,WESTERN-MICHIGAN,55,42,-200,170,-4,65,24.4,20.7,0.7,0.7,1.3,0.3,45.7,31.8,26.7,19.3,1.7,1.6,294.8,247.3,6.2,6.6,32.2,27.4,39.9,37.6,1.3,2.3,161.5,196.7,456.3,444,2,1,49.4,59.6,0.584245077,0.606918239,6.450765864,7.77672956,85.6,63.6,0.320093458,0.506289308,4.047619048,5.231382979,5.330607477,6.981132075,1,0,0,0,0,0,0,0,0,0,1.96,5.8,20.8,18.7,0.8,1.3,0.7,0.8,24.5,30.3,14.3,17.4,1.6,1.5,164.8,222.4,5.7,6.8,29,33.9,46.8,36.7,2.2,2.3,224.8,157,389.6,379.4,1.5,2.2,53.4,61.8,0.583673469,0.574257426,6.726530612,7.339933993,71.3,60.6,0.47545582,0.478547855,4.803418803,4.277929155,5.464235624,6.260726073,0,0,0,0,0,1,0,0,0,0,-2.87,-4.37
8/31/2021,COLORADO-STATE,COLORADO,13,45,203,-245,7,65,27.25,25.7,0.25,0.75,0.9,0.45,42.65,34.6,27.9,22.1,3.6,2.3,414.8,331.45,9.1,7.8,35.4,33.7,32.4,36.1,1,1.85,158.3,193.75,573.1,525.25,1.1,1.2,88.5,56.85,0.654161782,0.638728324,9.725674091,9.579479769,75.05,69.2,0.449033977,0.511560694,4.885802469,5.367036011,7.636242505,7.590317919,0,0,0,0,0,0,1,0,0,0,-0.87,-4.95,22.6,23.3,0.4,0.5,0.8,0.7,34.2,33.9,20.3,18.9,1.6,1.4,260.4,242.6,6.3,5.3,28.2,26.4,41.2,39.6,1.4,1.9,158.5,208.3,418.9,450.8,1.2,1.2,55.7,50.1,0.593567251,0.557522124,7.614035088,7.156342183,75.4,67.8,0.350132626,0.415929204,3.847087379,5.26010101,5.555702918,6.648967552,0,0,0,0,0,0,0,1,0,0,-2.61,-0.36
8/31/2021,SAN-DIEGO-STATE,STANFORD,10,31,447,-600,14,48,19.6,15.3,0.7,0.5,0.3,1.1,19.4,25.6,11.5,14.7,1,1.1,147.7,178.7,6.5,4.7,20.2,30.8,44.2,36.2,2.5,1.3,252.9,135.8,400.6,314.5,1,1.5,59.9,41.9,0.592783505,0.57421875,7.613402062,6.98046875,63.6,51.2,0.48427673,0.39453125,5.721719457,3.751381215,6.298742138,6.142578125,0,0,0,0,0,0,1,0,0,0,5.05,-3.87,17.6,20.9,0.3,0.7,0.6,1.3,25.9,30.9,14.9,19.6,1.6,1.4,186.3,236.1,5.8,6.6,22.7,32.4,34.2,36.8,2.2,1.3,202.6,169.4,388.9,405.6,0.9,2,47.3,63.4,0.575289575,0.634304207,7.193050193,7.640776699,60.1,61.8,0.539101498,0.367313916,5.923976608,4.60326087,6.470881864,6.563106796,0,0,0,0,0,0,0,1,0,0,10.84,4.92
