date,away,home,away_score,home_score,away_ml,home_ml,spread,o/u
826,OREGON-STATE,COLORADO-STATE,27,58,140,-160,3,60
826,HAWAII,MASSACHUSETTS,38,35,125,-145,3,59
826,SOUTH-FLORIDA,SAN-JOSE-STATE,42,22,-1800,980,-21,69
831,OHIO-STATE,INDIANA,49,21,-2000,1041,-20,55
831,BUFFALO,MINNESOTA,7,17,1123,-1800,21,52
831,LOUISIANA-MONROE,MEMPHIS,29,37,1769,-4000,28,61
831,NEW-MEXICO-STATE,ARIZONA-STATE,31,37,1807,-4190,26,69
831,FLORIDA-INTERNATIONAL,CENTRAL-FLORIDA,17,61,588,-850,17,56
831,TULSA,OKLAHOMA-STATE,24,59,980,-1800,19,70
901,CHARLOTTE,EASTERN-MICHIGAN,7,24,367,-475,13,59
901,NAVY,FLORIDA-ATLANTIC,42,19,-335,271,-8,64
901,BOSTON-COLLEGE,NORTHERN-ILLINOIS,23,20,-170,150,-3,46
901,COLORADO-STATE,COLORADO,3,17,130,-150,3,68
902,BOWLING-GREEN-STATE,MICHIGAN-STATE,10,35,614,-900,17,56
902,WYOMING,IOWA,3,24,306,-385,11,51
902,MIAMI-OH,MARSHALL,26,31,-185,165,-4,48
902,MASSACHUSETTS,COASTAL-CAROLINA,28,38,-160,140,-3,57
902,LOUISVILLE,PURDUE,35,28,-2700,1442,-25,66
902,ARKANSAS-STATE,NEBRASKA,36,43,477,-650,14,51
902,NEVADA,NORTHWESTERN,20,31,1164,-1900,24,60
902,BALL-STATE,ILLINOIS,21,24,173,-207,4,55
902,CALIFORNIA,NORTH-CAROLINA,35,30,410,-540,13,57
902,SOUTH-ALABAMA,MISSISSIPPI,27,47,876,-1500,21,59
902,MARYLAND,TEXAS,51,41,664,-1000,19,59
902,TEMPLE,NOTRE-DAME,16,49,876,-1500,20,55
902,APPALACHIAN-STATE,GEORGIA,10,31,330,-420,11,46
902,KENTUCKY,SOUTHERN-MISSISSIPPI,24,17,-340,274,-9,57
902,SOUTH-CAROLINA,NORTH-CAROLINA-STATE,35,28,267,-330,8,49
902,MICHIGAN,FLORIDA,33,17,-195,166,-3,46
902,VANDERBILT,MIDDLE-TENNESSEE-STATE,28,6,-140,120,-2,58
902,FLORIDA-STATE,ALABAMA,7,24,267,-330,7,50
902,TROY,BOISE-STATE,13,24,334,-425,11,58
902,BRIGHAM-YOUNG,LOUISIANA-STATE,0,27,548,-775,16,47
903,WEST-VIRGINIA,VIRGINIA-TECH,24,31,176,-210,5,54
903,TEXAS-AM,UCLA,44,45,192,-230,6,60
904,TENNESSEE,GEORGIA-TECH,42,41,-180,160,-4,54
908,OHIO,PURDUE,21,44,130,-150,3,54
909,HAWAII,UCLA,23,56,1123,-1800,24,62
909,CENTRAL-MICHIGAN,KANSAS,45,27,130,-150,3,56
909,NEBRASKA,OREGON,35,42,281,-350,10,67
909,BUFFALO,ARMY,17,21,477,-650,16,53
909,WESTERN-MICHIGAN,MICHIGAN-STATE,14,28,218,-265,7,51
909,EASTERN-MICHIGAN,RUTGERS,16,13,192,-230,6,51
909,OLD-DOMINION,MASSACHUSETTS,17,7,-170,150,-3,60
909,NORTHWESTERN,DUKE,17,41,-118,-102,-1,54
909,EAST-CAROLINA,WEST-VIRGINIA,20,56,1380,-2500,25,68
909,LOUISVILLE,NORTH-CAROLINA,47,35,-460,358,-11,65
909,IOWA,IOWA-STATE,44,41,-170,150,-3,49
909,WAKE-FOREST,BOSTON-COLLEGE,34,10,-105,-115,0,46
909,NEW-MEXICO-STATE,NEW-MEXICO,30,28,241,-295,7.5,68
